,Time,Source,Destination,Protocol,Length,Info,Label
1,0,10.0.0.4,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=0000)",attack
2,0.005072,10.0.0.10,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=0000)",attack
3,0.014016,10.0.0.9,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=0000)",attack
4,0.023552,10.0.0.21,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=0, ID=0000)",attack
5,0.038144,10.0.0.3,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=0000)",attack
6,0.047232,10.0.0.14,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=96, ID=0000)",attack
7,0.056256,10.0.0.4,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=0000)",attack
8,0.069888,10.0.0.16,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=0000)",attack
9,0.080064,10.0.0.20,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=0000)",attack
10,0.089888,10.0.0.11,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=0000)",attack
11,0.094944,10.0.0.11,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=384, ID=0000)",attack
12,0.109088,10.0.0.17,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=288, ID=0000)",attack
13,0.123664,10.0.0.7,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=0000)",attack
14,0.132464,10.0.0.6,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=672, ID=0000)",attack
15,0.165056,10.0.0.15,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=576, ID=0000)",attack
16,0.187808,10.0.0.4,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=1056, ID=0000)",attack
17,0.19336,10.0.0.9,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=576, ID=0000)",attack
18,0.216592,10.0.0.3,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=480, ID=0000)",attack
19,0.226128,10.0.0.8,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=1152, ID=0000)",attack
20,0.231216,10.0.0.6,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=1440, ID=0000)",attack
21,0.240496,10.0.0.4,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=1344, ID=0000)",attack
22,0.250032,10.0.0.10,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=864, ID=0000)",attack
23,0.25584,10.0.0.15,10.0.0.1,IPv4,116,"Fragmented IP protocol (proto=UDP 17, off=864, ID=0000)",attack
